,Time,Source,Text,Compound,Positive,Neutral,Negative,Tweets Ago
111,2018-09-30 20:25:19+00:00,CBSNews,"RT @60Minutes: As we start Season 51 of 60 Minutes, we remain committed to investigations and in-depth reporting, but along the way, we'll…",0.1406,0.066,0.934,0.0,-11
112,2018-09-30 20:01:34+00:00,CBSNews,Behind the scenes of Jeff Flake's decision to call for an FBI probe into Kavanaugh allegations… https://t.co/T75WMHufcC,0.0,0.0,1.0,0.0,-12
113,2018-09-30 19:19:38+00:00,CBSNews,"After performing on ""Saturday Night Live"" in a Make America Great Again hat, Kanye West reaffirmed his support for… https://t.co/4CwssdtxqP",0.7783,0.286,0.714,0.0,-13
114,2018-09-30 18:40:12+00:00,CBSNews,"Iranian leaders have for years doubted whether the Holocaust happened. On @FaceTheNation, Iranian Foreign Minister… https://t.co/ObFFqSfFfj",-0.2732,0.0,0.877,0.123,-14
115,2018-09-30 18:19:55+00:00,CBSNews,White House counselor Kellyanne Conway says she is a victim of sexual assault https://t.co/Qb5F2lRtxk https://t.co/2qimlLhc1b,-0.7096,0.0,0.67,0.33,-15
116,2018-09-30 17:59:54+00:00,CBSNews,".@johndickerson on Washington's wrenching week with the Kavanaugh and Ford hearings: 

""There is more anguish to co… https://t.co/G1qDzjLVyB",-0.6361,0.0,0.802,0.198,-16
117,2018-09-30 17:29:41+00:00,CBSNews,Riding the rails. Dancing with wolves. Flying with eagles. Here's what you'll see on the 51st season of @60Minutes… https://t.co/xibxGxL4tG,0.0,0.0,1.0,0.0,-17
118,2018-09-30 16:59:37+00:00,CBSNews,"""Boofed,"" ""Devil's Triangle,"" ""FFFFFFourth of July"": How Brett Kavanaugh explained his yearbook jokes… https://t.co/DJFUYJ2C1E",0.0,0.0,1.0,0.0,-18
119,2018-09-30 16:19:37+00:00,CBSNews,Europe wins Ryder Cup over talented U.S. team to reclaim title https://t.co/NgJMARv7xh https://t.co/mixGu28F33,0.7906,0.389,0.611,0.0,-19
120,2018-09-30 15:59:43+00:00,CBSNews,How the FBI will investigate the Brett Kavanaugh allegations https://t.co/kM440YeZNU https://t.co/M3vDe3mKU1,0.0,0.0,1.0,0.0,-20
121,2018-09-30 15:31:27+00:00,CBSNews,"Iranian Foreign Minister Javad Zarif tells @FaceTheNation that President Trump is a ""bully"": ""The United States is… https://t.co/8v5x3pqYHU",0.4215,0.149,0.851,0.0,-21
122,2018-09-30 14:59:48+00:00,CBSNews,"John Dickerson on partisanship in the Kavanaugh/Ford hearings: ""At the end of this drama, there will be no winners""… https://t.co/oia0cWatpw",-0.296,0.0,0.896,0.104,-22
123,2018-09-30 14:52:23+00:00,CBSNews,Sen. Amy Klobuchar tells @FaceTheNation that Brett Kavanaugh's drinking habits are relevant to the FBI's investigat… https://t.co/6xt53KLRBh,0.0,0.0,1.0,0.0,-23
124,2018-09-30 14:49:53+00:00,CBSNews,A @48Hours investigation into one murder leads into the dark web and to the disruption of four potential murder-for… https://t.co/HlfPqPtdrd,-0.802,0.0,0.702,0.298,-24
125,2018-09-30 14:44:58+00:00,CBSNews,"Sen. Tom Cotton says on @FaceTheNation that Christine Blasey Ford has been ""victimized by the Democrats"" in the han… https://t.co/Ov8KODEBRn",-0.4215,0.0,0.872,0.128,-25
126,2018-09-30 14:40:10+00:00,CBSNews,"Sen. Tom Cotton tells @facethenation: ""The Democrats have disgraced this process and the United States Senate in th… https://t.co/oI02g3Em2b",-0.0516,0.123,0.746,0.132,-26
127,2018-09-30 14:29:36+00:00,CBSNews,".@FaceTheNation starts now. This week's guests include @SenAmyKlobuchar, @SenTomCotton and @JZarif… https://t.co/zu7iqUXOWJ",0.0,0.0,1.0,0.0,-27
128,2018-09-30 14:21:11+00:00,CBSNews,RT @60Minutes: What did Senate Judiciary Committee members think of Judge Brett Kavanaugh's emotional testimony? Republican Jeff Flake and…,0.1531,0.082,0.918,0.0,-28
129,2018-09-30 14:19:40+00:00,CBSNews,Catholic institute accused of failing to act on McCarrick allegations https://t.co/J0jDFFR8C4 https://t.co/KjySCxd8kw,-0.6705,0.0,0.645,0.355,-29
130,2018-09-30 14:01:41+00:00,CBSNews,"RT @CBSSunday: EXCLUSIVE: CNN founder Ted Turner says he is battling Lewy body dementia, a progressive brain disorder which affects memory…",-0.3751,0.093,0.707,0.2,-30
131,2018-09-30 13:59:50+00:00,CBSNews,"Tens of thousands of women in Brazil say ""not him"" in protest against far-right presidential candidate… https://t.co/AyG5yzR1Nh",0.1877,0.098,0.902,0.0,-31
132,2018-09-30 13:39:42+00:00,CBSNews,"Senate panel refers unidentified individual's ""apparent false statements"" about Kavanaugh for criminal investigation https://t.co/18qixewp9X",-0.5267,0.0,0.793,0.207,-32
133,2018-09-30 13:19:51+00:00,CBSNews,Thousands of panicked people stampeded out of NYC's Global Citizen Festival Saturday night after confusing the soun… https://t.co/Sx1z2jldpw,-0.1779,0.139,0.649,0.212,-33
134,2018-09-30 13:03:04+00:00,CBSNews,"""Boofed,"" ""Devil's Triangle,"" ""FFFFFFourth of July"": How Brett Kavanaugh explained his yearbook jokes… https://t.co/lz22ReLWnH",0.0,0.0,1.0,0.0,-34
135,2018-09-30 12:48:04+00:00,CBSNews,Pentagon's top enlisted service member suspended amid misconduct probe https://t.co/MWjY9FHTxf https://t.co/qgwfzVSw8g,-0.3182,0.129,0.647,0.223,-35
136,2018-09-30 12:33:04+00:00,CBSNews,National Guardsmen waved van around barricade blocking flooded road before 2 drowned https://t.co/p6FCW1mWa4 https://t.co/XYSyTpZ8SX,-0.7579,0.0,0.629,0.371,-36
137,2018-09-30 12:18:03+00:00,CBSNews,"GoFundMe campaigns for Christine Blasey Ford raise over $700,000 combined https://t.co/NArWgZFlTq https://t.co/KZpyn1ZTbu",0.0,0.0,1.0,0.0,-37
138,2018-09-30 12:03:03+00:00,CBSNews,"""We still have a rape culture,"" says mother of sexual assault survivor Chessy Prout https://t.co/2pPSTjisne https://t.co/w63HGIH5WD",-0.7906,0.109,0.522,0.37,-38
139,2018-09-30 11:48:03+00:00,CBSNews,"Honda recall: Rear cameras and airbags lead to recall of Accord, Insight, Acura models https://t.co/tCUMkAOkKs https://t.co/chTGJSXFiE",0.0,0.0,1.0,0.0,-39
140,2018-09-30 11:33:04+00:00,CBSNews,"Kavanaugh lawyer says accuser's lie detector test, therapist notes not turned over https://t.co/dwh8KdmOhw https://t.co/H6MzdpaqTf",0.0,0.0,1.0,0.0,-40
141,2018-09-30 11:18:04+00:00,CBSNews,Former Massachusetts state senator found dead before his corruption trial https://t.co/T121cdzMFP https://t.co/YIVDyHqPfM,-0.6486,0.0,0.719,0.281,-41
142,2018-09-30 11:03:04+00:00,CBSNews,"Cedric the Entertainer talks race in ""The Neighborhood"" https://t.co/D9HNWCH4LW https://t.co/ya3Vo7DaMF",0.3818,0.224,0.776,0.0,-42
